1,2022-01-1 19:7:51,21,1516
2,2022-01-1 16:54:31,18,955
3,2022-01-1 11:55:52,10,1715
4,2022-01-1 12:5:32,20,695
5,2022-01-1 15:26:8,7,1555
6,2022-01-1 12:15:32,11,331
7,2022-01-1 14:9:38,4,71
8,2022-01-1 17:57:58,7,1536
9,2022-01-1 8:58:46,15,517
10,2022-01-1 19:24:8,12,1853
11,2022-01-1 15:52:44,18,1562
12,2022-01-1 13:44:44,17,763
13,2022-01-1 8:39:27,4,1972
14,2022-01-1 11:35:58,21,1520
15,2022-01-1 18:54:24,23,1441
16,2022-01-1 16:56:13,23,1505
17,2022-01-1 18:45:11,14,1320
18,2022-01-1 16:22:38,17,427
19,2022-01-1 12:39:8,16,1675
20,2022-01-1 10:19:37,9,1556
21,2022-01-1 15:46:27,4,1318
22,2022-01-1 17:6:39,20,559
23,2022-01-1 13:30:25,16,1063
24,2022-01-1 12:22:45,13,1238
25,2022-01-1 13:20:1,4,1531
26,2022-01-1 13:14:4,9,1900
27,2022-01-1 11:52:26,5,272
28,2022-01-1 10:26:27,14,1953
29,2022-01-1 9:57:14,6,1096
30,2022-01-1 9:1:54,17,1398
31,2022-01-1 12:6:31,17,1976
32,2022-01-1 9:9:26,20,1727
33,2022-01-1 12:1:46,13,1511
34,2022-01-1 16:3:48,11,2001
35,2022-01-1 10:43:14,14,1526
36,2022-01-1 12:28:23,23,1969
37,2022-01-1 8:1:51,23,1496
38,2022-01-1 18:29:46,20,1205
39,2022-01-1 10:31:10,6,124
40,2022-01-1 15:16:24,10,1741
41,2022-01-1 11:25:1,20,231
42,2022-01-1 13:1:44,14,130
43,2022-01-1 8:43:6,7,1002
44,2022-01-1 8:50:27,6,203
45,2022-01-1 17:48:4,9,1271
46,2022-01-1 12:54:34,11,134
47,2022-01-1 17:55:47,10,1787
48,2022-01-1 13:15:42,16,1681
49,2022-01-1 17:15:14,23,704
50,2022-01-1 13:46:27,1,678
51,2022-01-1 20:36:33,18,1682
52,2022-01-1 19:22:2,21,595
